#Creator: tempmonitorEventBuffer
#Creation time: Thu Nov 25 11:47:57 2021
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.251	21.44	0.500	19.87
0.750	21.54	1.001	19.87
1.251	21.64	1.502	19.97
1.752	21.74	2.003	19.87
2.253	21.84	2.503	19.87
2.753	21.94	3.004	19.87
3.254	21.84	3.505	19.87
3.755	21.94	4.006	19.77
4.255	21.94	4.506	19.87
4.756	21.94	5.007	19.77
5.257	22.04	5.508	19.66
5.758	21.94	6.009	19.66
6.258	21.94	6.509	19.56
6.759	22.04	7.009	19.66
7.260	22.04	7.510	19.56
7.761	22.04	8.010	19.56
8.261	22.04	8.511	19.46
8.762	22.04	9.012	19.56
9.263	22.04	9.513	19.56
9.764	22.04	10.013	19.46
10.264	22.04	10.514	19.56
10.765	22.04	11.015	19.46
11.266	22.04	11.516	19.46
11.766	22.04	12.016	19.46
12.267	22.04	12.517	19.36
12.768	22.04	13.018	19.46
13.268	22.04	13.519	19.36
13.768	22.04	14.019	19.36
14.269	22.04	14.520	19.36
14.770	22.04	15.021	19.36
15.271	22.04	15.521	19.36
15.771	22.04	16.022	19.36
16.272	22.04	16.523	19.36
16.773	22.04	17.024	19.36
17.274	22.04	17.524	19.26
17.774	22.04	18.025	19.36
18.275	22.04	18.525	19.26
18.776	22.04	19.026	19.26
19.277	22.04	19.526	19.36
19.777	22.04	20.027	19.26
20.278	22.04	20.528	19.26
20.779	22.04	21.029	19.26
21.279	22.04	21.529	19.26
21.780	22.04	22.030	19.26
22.281	22.04	22.531	19.26
22.782	22.04	23.032	19.26
23.282	22.04	23.532	19.26
23.783	22.04	24.033	19.26
24.284	22.04	24.534	19.26
24.784	22.04	25.034	19.26
25.284	22.04	25.535	19.26
25.785	22.04	26.036	19.26
26.286	22.04	26.537	19.26
26.787	22.04	27.037	19.26
27.287	22.04	27.538	19.26
27.788	22.04	28.039	19.26
28.289	22.04	28.540	19.26
28.789	22.04	29.040	19.26
29.290	22.14	29.541	19.26
29.791	22.04	30.042	19.26
30.292	22.04	30.542	19.26
30.792	22.04	31.042	19.15
31.293	22.04	31.543	19.15
31.794	22.04	32.044	19.15
32.295	22.04	32.544	19.26
32.795	22.04	33.045	19.15
33.296	22.14	33.546	19.26
33.797	22.04	34.047	19.15
34.298	22.04	34.547	19.26
34.798	22.04	35.048	19.15
35.299	22.14	35.549	19.15
35.800	22.14	36.050	19.26
36.301	22.14	36.550	19.15
36.800	22.04	37.051	19.15
37.301	22.04	37.552	19.15
37.802	22.04	38.053	19.26
38.302	22.04	38.553	19.15
38.803	22.04	39.054	19.15
39.304	22.04	39.555	19.15
39.805	22.04	40.056	19.15
40.305	22.04	40.556	19.15
40.806	22.04	41.057	19.15
41.307	22.14	41.558	19.15
41.808	22.04	42.058	19.15
42.308	22.04	42.559	19.15
42.809	22.04	43.059	19.15
43.310	22.04	43.560	19.15
43.811	22.04	44.060	19.15
44.311	22.04	44.561	19.15
44.812	22.04	45.062	19.15
45.313	22.04	45.563	19.05
45.813	22.04	46.063	19.05
46.314	22.04	46.564	19.15
46.815	22.04	47.065	19.15
47.316	22.04	47.566	19.15
47.816	22.04	48.066	19.05
48.317	22.04	48.567	19.05
48.817	22.04	49.068	19.05
49.318	22.04	49.568	19.15
49.818	22.04	50.069	19.15
50.319	22.04	50.570	19.05
50.820	22.04	51.071	19.15
51.321	22.04	51.571	19.15
51.821	22.04	52.072	19.15
52.322	22.04	52.573	19.15
52.823	22.04	53.074	19.05
