#Creator: pendulumEventBuffer
#Creation time: Thu Mar 31 11:15:25 2022
#Time	Period	Transit time
#[s]	[s]	[s]
2.279301	2.123275	0.025530
3.340915	2.123272	0.025578
4.402573	2.123345	0.025634
5.464260	2.123278	0.025708
6.525851	2.123233	0.025774
7.587493	2.123214	0.025834
8.649065	2.123152	0.025898
9.710645	2.123161	0.025958
10.772226	2.123061	0.026028
11.833706	2.122861	0.026104
12.895087	2.122811	0.026166
13.956517	2.122795	0.026230
15.017882	2.122868	0.026300
16.079385	2.122877	0.026370
17.140759	2.122832	0.026434
18.202217	2.122889	0.026486
19.263648	2.122866	0.026548
20.325083	2.122907	0.026614
21.386555	2.122921	0.026678
22.448004	2.122736	0.026748
23.509291	2.122654	0.026806
24.570658	2.122674	0.026868
25.631965	2.122691	0.026942
26.693349	2.122676	0.027014
27.754641	2.122621	0.027074
28.815970	2.122604	0.027132
29.877245	2.122601	0.027194
30.938571	2.122584	0.027258
31.999829	2.122529	0.027318
33.061100	2.122527	0.027376
34.122356	2.122529	0.027440
35.183629	2.122491	0.027498
36.244847	2.122451	0.027554
37.306080	2.122425	0.027608
38.367272	2.122347	0.027676
39.428427	2.122331	0.027774
40.489603	2.122345	0.027834
41.550772	2.122269	0.027872
42.611872	2.122242	0.027932
43.673014	2.122232	0.028000
44.734104	2.122176	0.028068
45.795190	2.122146	0.028132
46.856250	2.122134	0.028172
47.917324	2.122089	0.028220
48.978339	2.122073	0.028314
50.039397	2.122122	0.028398
51.100461	2.122132	0.028466
52.161529	2.122040	0.028534
53.222501	2.122005	0.028606
54.283534	2.121997	0.028664
55.344498	2.121952	0.028744
56.405486	2.121910	0.028812
57.466408	2.121888	0.028856
58.527374	2.121880	0.028928
59.588288	2.121882	0.029000
60.649256	2.121837	0.029064
61.710125	2.121791	0.029122
62.771047	2.121797	0.029190
63.831922	2.121713	0.029256
64.892760	2.121752	0.029312
65.953674	2.121723	0.029376
67.014483	2.121606	0.029454
68.075280	2.121686	0.029532
69.136169	2.121700	0.029602
70.196980	2.121599	0.029680
71.257768	2.121515	0.029764
72.318495	2.121615	0.029838
73.379383	2.121656	0.029910
74.440151	2.121603	0.029974
75.500986	2.121547	0.030036
76.561698	2.121502	0.030100
77.622488	2.121474	0.030164
78.683172	2.121521	0.030224
79.744009	2.121548	0.030286
80.804720	2.121447	0.030356
81.865456	2.121407	0.030416
82.926127	2.121345	0.030478
83.986801	2.121305	0.030546
85.047432	2.121245	0.030616
86.108046	2.121205	0.030684
87.168637	2.121203	0.030750
88.229249	2.121216	0.030818
89.289853	2.121166	0.030886
90.350415	2.121139	0.030946
91.410992	2.121175	0.031028
92.471590	2.121114	0.031104
93.532106	2.121105	0.031156
94.592695	2.121111	0.031226
95.653217	2.121067	0.031298
96.713762	2.121046	0.031352
97.774263	2.121034	0.031414
98.834796	2.121016	0.031492
99.895279	2.120992	0.031562
100.955788	2.120985	0.031632
102.016264	2.120984	0.031704
103.076772	2.120963	0.031772
104.137227	2.120952	0.031834
105.197724	2.120925	0.031900
106.258152	2.120884	0.031972
107.318608	2.120862	0.032040
108.379014	2.120849	0.032100
109.439457	2.120833	0.032174
110.499847	2.120791	0.032254
111.560248	2.120762	0.032316
112.620609	2.120781	0.032382
113.681029	2.120772	0.032446
114.741381	2.120738	0.032506
115.801767	2.120718	0.032582
116.862099	2.120674	0.032654
117.922441	2.120655	0.032722
118.982754	2.120739	0.032804
120.043180	2.120709	0.032888
121.103463	2.120580	0.032966
122.163760	2.120602	0.033032
123.224065	2.120582	0.033094
124.284342	2.120528	0.033164
125.344593	2.120521	0.033234
126.404863	2.120492	0.033314
127.465085	2.120475	0.033394
128.525338	2.120485	0.033464
129.585570	2.120464	0.033528
130.645802	2.120426	0.033596
131.705996	2.120441	0.033672
132.766243	2.120421	0.033738
133.826417	2.120411	0.033810
134.886654	2.120394	0.033884
135.946811	2.120395	0.033962
137.007049	2.120406	0.034038
138.067217	2.120265	0.034106
139.127314	2.120304	0.034184
140.187521	2.120369	0.034262
141.247683	2.120274	0.034330
142.307795	2.120275	0.034390
143.367958	2.120264	0.034452
144.428059	2.120236	0.034526
145.488194	2.120187	0.034604
146.548246	2.120186	0.034680
147.608380	2.120167	0.034760
148.668413	2.120139	0.034834
149.728519	2.120121	0.034902
150.788534	2.120068	0.034980
151.848587	2.120019	0.035054
152.908553	2.120115	0.035126
153.968702	2.120176	0.035204
155.028729	2.120073	0.035286
156.088775	2.120128	0.035346
157.148857	2.120021	0.035418
158.208796	2.119879	0.035512
159.268736	2.119956	0.035596
160.328752	2.119920	0.035680
161.388656	2.119965	0.035760
162.448717	2.120010	0.035834
163.508666	2.119967	0.035916
164.568684	2.119958	0.035996
165.628624	2.119900	0.036064
166.688584	2.119888	0.036136
167.748512	2.119896	0.036216
168.808480	2.119873	0.036292
169.868385	2.119873	0.036362
170.928353	2.119879	0.036442
171.988264	2.119868	0.036520
173.048221	2.119852	0.036590
174.108116	2.119833	0.036664
175.168054	2.119812	0.036740
176.227928	2.119791	0.036804
177.287845	2.119724	0.036878
178.347652	2.119678	0.036960
179.407523	2.119708	0.037042
180.467360	2.119683	0.037124
181.527206	2.119657	0.037184
182.587017	2.119660	0.037258
183.646866	2.119671	0.037328
184.706688	2.119646	0.037404
185.766512	2.119620	0.037488
186.826308	2.119659	0.037564
187.886171	2.119648	0.037646
188.945956	2.119588	0.037720
190.005759	2.119612	0.037798
191.065568	2.119606	0.037872
192.125365	2.119555	0.037954
193.185123	2.119577	0.038038
194.244942	2.119562	0.038124
195.304685	2.119557	0.038194
196.364499	2.119556	0.038262
197.424241	2.119486	0.038318
198.483985	2.119431	0.038394
199.543672	2.119429	0.038512
200.603414	2.119460	0.038592
201.663132	2.119489	0.038660
202.722903	2.119479	0.038746
203.782611	2.119462	0.038810
204.842365	2.119457	0.038882
205.902068	2.119440	0.038996
206.961805	2.119403	0.039086
208.021471	2.119417	0.039158
209.081222	2.119415	0.039228
210.140886	2.119366	0.039308
211.200588	2.119340	0.039384
212.260226	2.119311	0.039440
213.319899	2.119305	0.039538
214.379531	2.119272	0.039618
215.439171	2.119242	0.039678
216.498773	2.119214	0.039778
217.558385	2.119190	0.039866
218.617963	2.119203	0.039950
219.677588	2.119206	0.040028
220.737169	2.119191	0.040118
221.796779	2.119147	0.040250
222.856316	2.119114	0.040332
223.915893	2.119111	0.040382
224.975427	2.119127	0.040458
226.035020	2.119108	0.040552
227.094535	2.119104	0.040646
228.154124	2.119118	0.040724
229.213653	2.119089	0.040798
230.273213	2.119050	0.040890
231.332703	2.119045	0.040990
232.392258	2.119066	0.041072
233.451769	2.119071	0.041146
234.511329	2.119058	0.041226
235.570827	2.119042	0.041314
236.630371	2.119034	0.041390
237.689861	2.119040	0.041474
238.749411	2.119024	0.041570
239.808885	2.118987	0.041654
240.868398	2.118949	0.041728
241.927834	2.118906	0.041828
242.987304	2.118912	0.041924
244.046746	2.118916	0.041996
245.106220	2.118905	0.042092
246.165651	2.118890	0.042198
247.225110	2.118855	0.042272
248.284506	2.118867	0.042336
249.343977	2.118891	0.042430
250.403397	2.118943	0.042542
251.462920	2.118890	0.042644
252.522287	2.118837	0.042726
253.581757	2.118861	0.042802
254.641148	2.118845	0.042892
255.700602	2.118815	0.042984
256.759963	2.118795	0.043074
257.819397	2.118793	0.043162
258.878756	2.118782	0.043244
259.938179	2.118787	0.043322
260.997543	2.118771	0.043402
262.056950	2.118744	0.043496
263.116287	2.118722	0.043590
264.175672	2.118720	0.043680
265.235007	2.118704	0.043766
266.294376	2.118694	0.043844
267.353701	2.118703	0.043930
268.413079	2.118701	0.044026
269.472402	2.118645	0.044112
270.531724	2.118635	0.044188
271.591037	2.118657	0.044282
272.650381	2.118625	0.044382
273.709662	2.118614	0.044468
274.768995	2.118596	0.044562
275.828258	2.118599	0.044652
276.887594	2.118587	0.044736
277.946845	2.118561	0.044830
279.006155	2.118606	0.044910
280.065451	2.118602	0.045010
281.124757	2.118560	0.045110
282.184011	2.118541	0.045194
283.243298	2.118537	0.045280
284.302548	2.118547	0.045360
285.361845	2.118522	0.045470
286.421070	2.118519	0.045560
287.480364	2.118479	0.045648
288.539549	2.118475	0.045746
289.598839	2.118524	0.045802
290.658073	2.118469	0.045894
291.717308	2.118398	0.046032
292.776471	2.118412	0.046122
293.835720	2.118432	0.046192
294.894903	2.118415	0.046294
295.954135	2.118407	0.046390
297.013310	2.118393	0.046488
298.072528	2.118391	0.046584
299.131701	2.118391	0.046670
300.190919	2.118366	0.046766
