#Creator: pendulumEventBuffer
#Creation time: Thu Mar 31 09:08:41 2022
#Time	Period	Transit time
#[s]	[s]	[s]
2.046156	2.143625	0.015612
3.117931	2.143554	0.015646
4.189710	2.143455	0.015688
5.261386	2.143302	0.015744
6.333012	2.143241	0.015784
7.404627	2.143200	0.015822
8.476212	2.143131	0.015868
9.547758	2.143020	0.015916
10.619232	2.142905	0.015960
11.690663	2.142821	0.016002
12.762053	2.142729	0.016046
13.833392	2.142640	0.016092
14.904693	2.142504	0.016138
15.975896	2.142360	0.016180
17.047053	2.142332	0.016218
18.118228	2.142369	0.016264
19.189422	2.142280	0.016300
20.260508	2.142077	0.016344
21.331499	2.142016	0.016402
22.402524	2.141994	0.016440
23.473493	2.141901	0.016482
24.544425	2.141815	0.016534
25.615308	2.141794	0.016576
26.686219	2.141737	0.016614
27.757045	2.141614	0.016654
28.827833	2.141550	0.016698
29.898595	2.141498	0.016746
30.969331	2.141432	0.016786
32.040027	2.141362	0.016830
33.110693	2.141283	0.016878
34.181310	2.141188	0.016920
35.251881	2.141113	0.016962
36.322423	2.141021	0.017014
37.392902	2.140908	0.017064
38.463331	2.140861	0.017098
39.533763	2.140829	0.017138
40.604160	2.140767	0.017180
41.674530	2.140681	0.017220
42.744841	2.140582	0.017266
43.815112	2.140496	0.017316
44.885337	2.140412	0.017362
45.955524	2.140339	0.017400
47.025676	2.140284	0.017444
48.095808	2.140236	0.017492
49.165912	2.140179	0.017536
50.235987	2.140113	0.017578
51.306025	2.140053	0.017622
52.376040	2.140005	0.017668
53.446030	2.139932	0.017712
54.515972	2.139837	0.017752
55.585867	2.139771	0.017798
56.655743	2.139713	0.017842
57.725580	2.139645	0.017880
58.795388	2.139575	0.017928
59.865155	2.139499	0.017978
60.934887	2.139448	0.018022
62.004603	2.139406	0.018062
63.074293	2.139354	0.018106
64.143957	2.139291	0.018150
65.213584	2.139235	0.018192
66.283192	2.139173	0.018236
67.352757	2.139096	0.018278
68.422288	2.139022	0.018324
69.491779	2.138951	0.018374
70.561239	2.138892	0.018418
71.630671	2.138845	0.018462
72.700084	2.138785	0.018512
73.769456	2.138719	0.018556
74.838803	2.138688	0.018594
